"","first_names","last_names","income_unit","income","annual_income","expense_unit","expense","annual_expense","annual_pet_expense","gained_pet","lost_pet","happiness","age_respondent","sex","cats_n_dogs","dog_register","case_id"
"1","Kimberly","Chavez","Yearly",47945.6263516739,47945.6263516739,"Yearly",17843.5843385145,17843.5843385145,3539.5734313963,0,1,6,49,1,1,0,1
"2","Omar","Oakley","Yearly",28592.1426667065,28592.1426667065,"Weekly",1036.88218395538,53917.8735656796,9251.67104666544,NA,0,8,37,0,1,1,2
"3","Michael","el-Sham","Weekly",427.573497806077,22233.821885916,"Yearly",4131.13559028603,4131.13559028603,364.372492913942,0,1,6,28,0,1,NA,3
"4","Brett","Vigil","Weekly",504.695490582592,26244.1655102948,"Weekly",395.112350528333,20545.8422274733,2952.27425160515,0,0,7,49,1,1,0,4
"5","Mimi","Turner","Monthly",4084.83723386725,49018.046806407,"Monthly",4565.12371434774,54781.4845721729,26396.6498946333,0,0,8,41,0,1,NA,5
"6","Ashley","Torres-Pacheco","Weekly",1616.35612612263,84050.518558377,"Weekly",596.25626380259,31005.3257177347,27069.0883196785,NA,0,1,65,1,1,NA,6
"7","Rianna","Cordero","Yearly",121891.233133161,121891.233133161,"Yearly",96554.7550053684,96554.7550053684,3256.60246872209,0,0,14,49,0,1,1,7
"8","Monyindi","Carrillo","Yearly",55957.5841251336,55957.5841251336,"Weekly",849.685571695268,44183.6497281539,2568.87984293266,NA,0,8,56,1,1,1,8
"9","Diego","Grant","Yearly",23576.6606256665,23576.6606256665,"Yearly",18696.0348187878,18696.0348187878,10608.8141507601,NA,0,8,45,0,1,1,9
"10","Olivia","Kielian","Yearly",27505.5340940715,27505.5340940715,"Weekly",100.909881080135,5247.31381616704,1088.39596568137,1,0,21,20,0,1,0,10
"11","Faisal","Reyad","Weekly",347.746228947531,18082.8039052716,"Weekly",830.983616830236,43211.1480751723,2339.47147238486,0,1,8,57,0,1,NA,11
"12","Ramza","Wilkerson","Yearly",19004.5227492334,19004.5227492334,"Yearly",38951.6056028175,38951.6056028175,7366.86587868593,NA,0,7,43,0,1,1,12
"13","Fareeda","Avalaz","Weekly",70.3903208572718,3660.29668457813,"Yearly",3443.96436317374,3443.96436317374,2409.93841733314,NA,1,4,43,1,1,1,13
"14","Tyler","Jackson","Monthly",947.887103362275,11374.6452403473,"Weekly",253.590423479513,13186.7020209347,853.81004343877,0,1,10,55,1,1,0,14
"15","Kaazima","Efe","Monthly",2481.99833457602,29783.9800149122,"Yearly",13029.2103009622,13029.2103009622,1438.45094943281,1,0,11,43,1,1,NA,15
"16","Nabeeha","Thanh","Weekly",284.59194516102,14798.781148373,"Yearly",8962.43745999871,8962.43745999871,3982.17312756032,NA,1,9,53,0,1,NA,16
