"","first_names","last_names","income_unit","income","annual_income","expense_unit","expense","annual_expense","annual_pet_expense","gained_pet","lost_pet","happiness","age_respondent","female_respondent","cats_n_dogs","is_dog_registered","case_id"
"1","Kimberly","Chavez","Weekly",2537.40382445295,131944.998871554,"Monthly",1011.94260085049,12143.3112102059,7555.54593357096,0,0,-5,49,1,0,1,1
"2","Omar","Oakley","Weekly",591.589460097321,30762.6519250607,"Weekly",1296.19578207299,67402.1806677953,23100.3110880022,0,0,-9,37,0,1,NA,2
"3","Michael","el-Sham","Weekly",119.827328408114,6231.02107722193,"Yearly",5134.68439786892,5134.68439786892,3170.45254926231,1,0,-16,28,0,2,NA,3
"4","Brett","Vigil","Yearly",26650.1210444538,26650.1210444538,"Yearly",30852.9779040898,30852.9779040898,15361.4494492268,0,0,-11,49,1,0,1,4
"5","Mimi","Turner","Yearly",91563.0681576267,91563.0681576267,"Yearly",57671.2438551503,57671.2438551503,10151.6146599437,1,0,-11,41,0,0,1,5
"6","Ashley","Torres-Pacheco","Yearly",73444.4618159071,73444.4618159071,"Weekly",630.696054109004,32796.1948136682,16276.0257436848,1,0,-5,65,1,2,0,6
"7","Rianna","Cordero","Weekly",1749.69351973991,90984.0630264752,"Weekly",658.713438779349,34253.0988165261,30710.5410071147,1,0,-8,49,0,2,NA,7
"8","Monyindi","Carrillo","Yearly",56669.8637792111,56669.8637792111,"Weekly",2007.28647774082,104378.896842523,2543.41064828883,0,1,-7,56,1,2,NA,8
"9","Diego","Grant","Yearly",31722.0439210888,31722.0439210888,"Weekly",320.14394841771,16647.4853177209,12409.4236009835,0,1,-7,45,0,2,0,9
"10","Olivia","Kielian","Weekly",517.816537951745,26926.4599734907,"Yearly",5595.86886802423,5595.86886802423,503.469929686719,1,1,-4,20,0,0,1,10
"11","Faisal","Reyad","Yearly",113708.660104805,113708.660104805,"Monthly",3047.48381203023,36569.8057443627,19612.5062149446,1,0,-17,57,0,0,1,11
"12","Ramza","Wilkerson","Yearly",38014.1783083211,38014.1783083211,"Weekly",836.436297062245,43494.6874472367,23994.974365691,0,0,-15,43,0,2,NA,12
"13","Fareeda","Avalaz","Yearly",3265.54562525074,3265.54562525074,"Yearly",2799.80685005904,2799.80685005904,418.142869904398,1,0,-9,43,1,0,1,13
"14","Tyler","Jackson","Weekly",371.535579460909,19319.8501319673,"Weekly",283.621998981387,14748.3439470321,14398.179772268,0,1,-8,55,1,0,1,14
"15","Kaazima","Efe","Weekly",320.195123544496,16650.1464243138,"Yearly",32756.1658491956,32756.1658491956,6088.27171904692,1,0,-12,43,1,2,NA,15
"16","Nabeeha","Thanh","Yearly",21039.5139546312,21039.5139546312,"Yearly",7425.20942682515,7425.20942682515,1953.85890979094,1,1,-9,53,0,2,NA,16
"17","Deirdra","Reynolds","Weekly",821.178112725536,42701.2618617278,"Yearly",53058.453358773,53058.453358773,5515.13990291706,0,1,-9,51,0,0,1,17
