"","first_names","last_names","income_unit","income","annual_income","expense_unit","expense","annual_expense","annual_pet_expense","gained_pet","lost_pet","happiness","age_respondent","female_respondent","cats_n_dogs","dog_register","case_id"
"1","Kimberly","Chavez","Yearly",193533.390533684,193533.390533684,"Monthly",4122.13666585238,49465.6399902285,5181.74413091638,1,0,11,49,1,1,NA,1
"2","Omar","Oakley","Yearly",25200.0801812877,25200.0801812877,"Yearly",13101.427449011,13101.427449011,12268.6386696131,1,0,9,37,0,1,NA,2
"3","Michael","el-Sham","Monthly",1824.89427545661,21898.7313054793,"Weekly",67.3755188232601,3503.52697880953,2818.12321350618,1,1,6,28,0,1,NA,3
"4","Brett","Vigil","Weekly",744.856713842956,38732.5491198337,"Yearly",23937.7672535005,23937.7672535005,23184.6057666335,1,0,14,49,1,0,NA,4
"5","Mimi","Turner","Weekly",3189.35277309637,165846.344201011,"Weekly",2075.57702499596,107930.00529979,16699.4209184211,1,0,7,41,0,1,1,5
"6","Ashley","Torres-Pacheco","Weekly",1378.69037158767,71691.8993225588,"Weekly",1052.11245952846,54709.8478954798,29647.3649090771,NA,1,10,65,1,1,NA,6
"7","Rianna","Cordero","Monthly",3877.44623931207,46529.3548717449,"Yearly",43032.9285954622,43032.9285954622,24703.6258789838,0,0,8,49,0,1,NA,7
"8","Monyindi","Carrillo","Yearly",85905.3918051025,85905.3918051025,"Yearly",105020.89452246,105020.89452246,1702.0519556956,0,0,8,56,1,1,NA,8
"9","Diego","Grant","Weekly",1504.43251273969,78230.490662464,"Monthly",2119.09774748938,25429.1729698726,20344.3116874158,1,NA,4,45,0,1,0,9
"10","Olivia","Kielian","Monthly",729.944293637801,8759.33152365362,"Yearly",2078.03357102881,2078.03357102881,404.693951623561,0,0,8,20,0,1,0,10
"11","Faisal","Reyad","Weekly",1380.6779939271,71795.2556842094,"Monthly",2422.09307651661,29065.1169181993,17884.7694193481,1,0,5,57,0,0,NA,11
"12","Ramza","Wilkerson","Weekly",291.664144286515,15166.5355028988,"Yearly",26632.278300781,26632.278300781,4567.11333132301,0,0,10,43,0,1,NA,12
"13","Fareeda","Avalaz","Weekly",44.9473195484059,2337.26061651711,"Weekly",153.055896761554,7958.9066316008,820.70159988482,1,1,8,43,1,1,0,13
"14","Tyler","Jackson","Weekly",455.476846935378,23684.7960406397,"Weekly",151.731019640806,7890.0130213219,971.697511401227,0,0,9,55,1,1,NA,14
"15","Kaazima","Efe","Yearly",60657.2143672248,60657.2143672248,"Weekly",217.895973640982,11330.5906293311,2469.02277929587,0,1,9,43,1,1,NA,15
"16","Nabeeha","Thanh","Yearly",65693.5222254425,65693.5222254425,"Monthly",616.930918406873,7403.17102088247,2393.79736121956,0,NA,6,53,0,1,NA,16
"17","Deirdra","Reynolds","Weekly",617.32587606127,32100.945555186,"Yearly",34681.7754755193,34681.7754755193,5067.883868457,0,0,10,51,0,1,NA,17
"18","Noah","el-Salim","Weekly",1569.37459958995,81607.4791786775,"Yearly",7605.69145037315,7605.69145037315,7156.75326583589,0,0,4,50,1,1,NA,18
"19","Robert","Ruiz","Weekly",405.743584347642,21098.6663860774,"Yearly",6608.9600017204,6608.9600017204,1925.41571764221,1,0,11,30,0,1,NA,19
"20","Jaquay","Silas","Weekly",285.25660584601,14833.3435039925,"Weekly",74.6085439250477,3879.64428410248,2305.54106320769,0,0,11,36,1,1,0,20
"21","Shawqi","el-Elamin","Weekly",476.257116686712,24765.370067709,"Yearly",1742.45705716222,1742.45705716222,1578.70981001097,1,0,7,51,0,0,NA,21
"22","Lars","al-Abdou","Yearly",73492.4289819559,73492.4289819559,"Yearly",15611.9387672141,15611.9387672141,9114.29426206554,0,1,2,37,1,1,1,22
"23","Nashat","el-Nazar","Yearly",43279.4208640677,43279.4208640677,"Weekly",103.576384932942,5385.97201651296,355.117704331961,1,0,12,46,1,1,1,23
"24","Rohan","Pinch","Weekly",879.258820201566,45721.4586504814,"Monthly",2866.70633212411,34400.4759854893,10676.8665230598,1,0,8,43,1,1,0,24
"25","Daniel","Martinez Mendoza","Yearly",51241.4413122088,51241.4413122088,"Weekly",341.859489378622,17776.6934476884,13343.6444869972,1,0,17,49,1,1,NA,25
"26","Maighdeline","Hernandez","Weekly",1993.13480555525,103643.009888873,"Weekly",352.520814789247,18331.0823690409,6499.11952239408,0,0,3,55,0,1,1,26
"27","Brooke","el-Mahmoud","Weekly",1020.0694312062,53043.6104227224,"Weekly",67.5666116641031,3513.46380653336,1299.64266014665,0,0,9,66,0,1,1,27
"28","Kevin","Yellowhawk","Yearly",6280.31060070616,6280.31060070616,"Yearly",2326.50533173076,2326.50533173076,1999.60011754504,0,0,5,37,0,1,NA,28
"29","Margaret","Cravens","Monthly",798.979709732611,9587.75651679133,"Weekly",132.168738899995,6872.77442279973,322.49051954154,0,0,11,38,0,1,NA,29
"30","Kyle","el-Sadek","Monthly",1940.28604223609,23283.432506833,"Yearly",18927.7913392485,18927.7913392485,1870.40918026084,1,0,13,51,0,1,1,30
"31","Christopher","Vigil","Weekly",747.533720351767,38871.7534582919,"Yearly",37878.6506181413,37878.6506181413,10736.7947490822,1,0,16,60,1,1,1,31
"32","Michael","Valenzuela","Yearly",4265.82212728321,4265.82212728321,"Yearly",6271.28207024027,6271.28207024027,324.046935763988,0,1,8,35,0,1,1,32
"33","Nicholas","Kent","Yearly",155567.052468004,155567.052468004,"Monthly",4382.6108817239,52591.3305806868,4414.8031175547,1,1,6,36,1,1,0,33
"34","Chloe","Xue","Yearly",68480.035539449,68480.035539449,"Monthly",3322.10479935062,39865.2575922074,818.517861707095,1,0,8,44,1,1,0,34
"35","Mubarak","Bustos-Luevano","Yearly",1488.55741319012,1488.55741319012,"Weekly",12.3743820992456,643.46786916077,110.71922479986,1,0,9,42,1,1,0,35
"36","Marcia","Martinez","Yearly",8956.80083649887,8956.80083649887,"Monthly",394.880706255528,4738.56847506634,1303.46137381049,0,1,7,51,0,1,1,36
"37","Jessica","al-Abbasi","Yearly",67329.6592078144,67329.6592078144,"Yearly",124116.278304458,124116.278304458,76624.1336867084,0,1,13,47,1,1,1,37
"38","Lauren","Kulanko","Yearly",19491.9340768832,19491.9340768832,"Yearly",631.774666527576,631.774666527576,343.165691503186,1,0,11,35,1,1,0,38
"39","Andy","Romero","Weekly",180.342765266753,9377.82379387115,"Weekly",59.5741212189722,3097.85430338655,437.608380790521,1,1,5,54,0,1,NA,39
"40","Yune","Sotelo Duarte","Weekly",267.661606932728,13918.4035605018,"Weekly",233.297185092973,12131.4536248346,1773.91378802305,1,0,5,41,0,1,0,40
"41","Quinn","al-Shahidi","Yearly",45073.4351966465,45073.4351966465,"Weekly",382.72896931082,19901.9064041627,431.244111092354,0,0,11,32,1,1,1,41
"42","Vy","Mcgowan","Weekly",118.489647465785,6161.46166822083,"Yearly",6023.81807519574,6023.81807519574,431.266193648305,1,1,8,56,1,1,NA,42
"43","Eric","el-Daoud","Weekly",491.021237586823,25533.1043545148,"Yearly",22968.8839623945,22968.8839623945,16167.6811476884,0,0,10,42,1,1,1,43
"44","Donovan","Kentris","Yearly",7320.40586564176,7320.40586564176,"Yearly",3297.00922352474,3297.00922352474,2644.83108384053,0,0,9,35,0,1,1,44
"45","Auriel","Luna Torres","Weekly",568.725222201137,29573.7115544591,"Monthly",2146.56094776,25758.73137312,9633.14871172876,0,0,8,28,0,1,NA,45
"46","Richard","James","Yearly",16935.1048723121,16935.1048723121,"Yearly",54441.3754045703,54441.3754045703,18106.7395079553,0,0,4,28,1,1,NA,46
"47","Nikko","Lovett","Weekly",873.375385681921,45415.5200554599,"Weekly",757.79246691147,39405.2082793965,1941.08808653762,1,0,12,46,1,1,1,47
"48","Veronica","el-Rais","Yearly",28280.5273245677,28280.5273245677,"Weekly",22.0607985828192,1147.1615263066,728.158336925022,0,0,8,53,1,1,1,48
"49","Kia","Leinen","Yearly",6733.07879970755,6733.07879970755,"Yearly",2152.95155834897,2152.95155834897,696.652229771651,0,0,14,63,0,1,1,49
"50","Shaimaaa","Page","Weekly",1768.27724605881,91950.4167950581,"Yearly",54952.194394759,54952.194394759,8228.28758187889,0,0,11,40,0,1,1,50
"51","Faraj","Burciaga","Weekly",497.372573410484,25863.3738173452,"Yearly",1938.52305855496,1938.52305855496,816.489647746103,0,1,11,45,1,1,NA,51
"52","Emily","King","Yearly",9192.17602039263,9192.17602039263,"Yearly",18628.7299835975,18628.7299835975,2510.05982024371,0,1,6,37,1,1,1,52
"53","Steven","Tafoya","Weekly",167.10659831772,8689.54311252144,"Yearly",2719.60005222979,2719.60005222979,488.499011546674,1,0,10,31,0,1,1,53
"54","Mathew","Underwood","Monthly",1428.22988735471,17138.7586482566,"Weekly",731.859934328908,38056.7165851032,526.415756054957,0,NA,3,39,0,1,NA,54
"55","Christian","Coleman","Monthly",3916.16606629812,46993.9927955774,"Weekly",1993.27428817296,103650.262984994,9925.45371183853,1,NA,12,62,1,1,NA,55
"56","Husaam","Belvill","Yearly",25769.0658047682,25769.0658047682,"Weekly",82.1729670437513,4272.99428627507,249.817969316992,NA,0,10,45,0,1,NA,56
